"","grp","cost","seconds"
"42707","1.2",0.612025961730667,20.3601451008206
"2","2.2",0.806172564598063,13.4093906287103
"3","3.2",1.10841478562026,12.2911375650949
"4","4.2",1.09390556899576,9.0976843728856
"5","5.2",1.13235559368865,7.53396935255256
"6","6.2",1.26313443091939,7.0034066917243
"7","7.2",1.46853431995596,6.97906244632623
"8","8.2",1.88247212255742,7.82797788821282
"9","9.2",1.89530381510957,7.00563249467572
"10","10.2",1.84928242930126,6.15197082269214
"11","11.2",1.93390200641951,5.84861188658897
"12","12.2",2.07885162087763,5.7630617123465
"13","13.2",2.24129715040187,5.73544488050022
"14","14.2",2.42822341880842,5.76994444161302
"15","15.2",2.58616449234303,5.73556108304064
"16","16.2",3.96149811479147,8.23664777692837
"17","17.2",4.14594933720787,8.11308625339101
"18","18.2",4.38756302530358,8.10889891569377
"19","19.2",4.61438671023673,8.07925676758191
"20","20.2",4.89937989906681,8.14933449611912
"21","21.2",5.12979934671518,8.12628607343278
"22","22.2",5.36383600383615,8.11080264295068
"23","23.2",5.58414347292744,8.07680793908913
"24","24.2",5.79952037617321,8.03881178777613
"25","6.4",6.25112413119912,20.7954894584136
"26","7.4",7.26479818068329,20.7151359586065
"27","9.4",9.37692886042075,20.7960276345548
"28","10.4",9.08799595651705,18.139712488058
"29","11.4",9.49496246912285,17.2291099058662
"30","12.4",10.209107010221,16.9812159185313
"31","13.4",11.0060144282107,16.8985328239072
"32","14.4",11.9236709694043,16.9998160385005
"33","15.4",12.7000531695684,16.899605016059
"34","6.5",7.50134895743894,20.7954894584136
"35","7.5",8.71775781681995,20.7151359586065
"36","9.5",11.2523146325049,20.7960276345548
"37","10.5",10.9055951478205,18.139712488058
"38","11.5",11.3939549629474,17.2291099058662
"39","12.5",12.2509284122653,16.9812159185313
"40","13.5",13.2072173138529,16.8985328239072
"41","14.5",14.3084051632851,16.9998160385005
"42","15.5",15.240063803482,16.899605016059
"43","6.6",8.75157378367876,20.7954894584136
"44","7.6",10.1707174529566,20.7151359586065
"45","9.6",13.1277004045891,20.7960276345548
"46","10.6",12.7231943391239,18.139712488058
"47","11.6",13.292947456772,17.2291099058662
"48","12.6",14.2927498143095,16.9812159185313
"49","13.6",15.408420199495,16.8985328239072
"50","14.6",16.693139357166,16.9998160385005
"51","15.6",17.7800744373957,16.899605016059
"52","6.8",11.2520234361584,20.7954894584136
"53","7.8",13.0766367252299,20.7151359586065
"54","9.8",16.8784719487574,20.7960276345548
"55","10.8",16.3583927217307,18.139712488058
"56","11.8",17.0909324444211,17.2291099058662
"57","12.8",18.3763926183979,16.9812159185313
"58","13.8",19.8108259707793,16.8985328239072
"59","14.8",21.4626077449277,16.9998160385005
"60","15.8",22.8600957052231,16.899605016059
"61","6.10",13.7524730886381,20.7954894584136
"62","7.10",15.9825559975032,20.7151359586065
"63","9.10",20.6292434929257,20.7960276345548
"64","10.10",19.9935911043375,18.139712488058
"65","11.10",20.8889174320703,17.2291099058662
"66","12.10",22.4600354224863,16.9812159185313
"67","13.10",24.2132317420636,16.8985328239072
"68","14.10",26.2320761326894,16.9998160385005
"69","15.10",27.9401169730504,16.899605016059
"70","6.12",16.2529227411177,20.7954894584136
"71","7.12",18.8884752697765,20.7151359586065
"72","9.12",24.380015037094,20.7960276345548
"73","10.12",23.6287894869443,18.139712488058
"74","11.12",24.6869024197194,17.2291099058662
"75","12.12",26.5436782265747,16.9812159185313
"76","13.12",28.6156375133479,16.8985328239072
"77","6.14",18.7533723935974,20.7954894584136
"78","7.14",21.7943945420499,20.7151359586065
"79","9.14",28.1307865812623,20.7960276345548
"80","10.14",27.2639878695512,18.139712488058
"81","11.14",28.4848874073685,17.2291099058662
"82","6.16",21.253822046077,20.7954894584136
"83","7.16",24.7003138143232,20.7151359586065
"84","4.18",14.110231220108,18.5290356393897
"85","5.18",15.10217710972,15.865297940666
"86","6.18",17.0347333795753,14.9129227331086
"87","7.18",19.8463638383553,14.8922934869774
"88","8.18",25.2711702321152,16.5925847201092
"89","9.18",25.4640155231081,14.8615141197769
"90","10.18",24.682700910911,12.9649652856975
"91","11.18",25.9238484948436,12.3789972661584
"92","12.18",27.830465073307,12.1819803696585
"93","4.20",15.5955187169615,18.5290356393897
"94","5.20",16.6918799633748,15.865297940666
"95","6.20",18.8278632090043,14.9129227331086
"96","7.20",21.9354547687085,14.8922934869774
"97","8.20",27.9312934144431,16.5925847201092
"98","9.20",28.1444382097511,14.8615141197769
"99","10.20",27.2808799541648,12.9649652856975
"100","11.20",28.6526746521955,12.3789972661584
"101","4.22",17.080806213815,18.5290356393897
"102","5.22",18.2815828170295,15.865297940666
"103","6.22",20.6209930384333,14.9129227331086
"104","7.22",24.0245456990617,14.8922934869774
"105","10.22",29.8790589974186,12.9649652856975
